谓词,断言数,是否原始形式(raw:)
raw:体现于,21,1
raw:作报告,21,1
raw:信息来源,21,1
raw:关联地域,21,1
raw:冲突对象,21,1
raw:准备,21,1
raw:分工,21,1
raw:协助建立,21,1
raw:反击,21,1
raw:发出,21,1
raw:发扬,21,1
raw:受害者,21,1
raw:威胁,21,1
raw:学习经历,21,1
raw:寻找,21,1
raw:巩固,21,1
raw:建立关系,21,1
raw:建立据点,21,1
raw:恢复,21,1
raw:指导思想,21,1
raw:指挥中心,21,1
raw:掌握,21,1
raw:渡江,21,1
raw:精神内核,21,1
raw:组织者-地点,21,1
raw:资助者,21,1
raw:转入,21,1
raw:遭受,21,1
raw:配合行动,21,1
created_at,20,0
raw:关怀,20,1
raw:击退,20,1
raw:包含关系,20,1
raw:反抗,20,1
raw:后于,20,1
raw:增援,20,1
raw:审判,20,1
raw:工作安排,20,1
raw:开办,20,1
raw:抵达,20,1
raw:指挥行动,20,1
raw:授予,20,1
raw:接见,20,1
raw:推荐,20,1
raw:推进,20,1
raw:掩护场所,20,1
raw:沦陷,20,1
raw:派遣关系,20,1
raw:筹建,20,1
raw:籍贯/活动地,20,1
raw:纪念地关联,20,1
raw:藏匿,20,1
raw:论述,20,1
raw:迁移,20,1
raw:颁发,20,1
raw:born_at,19,1
raw:inherited_from,19,1
raw:下令,19,1
raw:人物与组织,19,1
raw:人物关系,19,1
raw:信息传递,19,1
raw:军事打击,19,1
raw:召开会议,19,1
raw:合围,19,1
raw:地理范围,19,1
raw:安葬地点,19,1
raw:成员-组织,19,1
raw:指派,19,1
raw:掩护地点,19,1
raw:撤退路线,19,1
raw:改造,19,1
raw:时间先后,19,1
raw:服务于,19,1
raw:欢迎,19,1
raw:确立,19,1
raw:移交,19,1
raw:统计,19,1
raw:调查对象,19,1
raw:象征,19,1
raw:资金支持,19,1
raw:运输路线,19,1
raw:采用,19,1
raw:administratively_in,18,1
raw:下达,18,1
raw:事-事,18,1
raw:作为,18,1
raw:保存,18,1
raw:关联-地点,18,1
raw:关联关系,18,1
raw:军事冲突,18,1
raw:军事围剿,18,1
raw:军事指挥,18,1
raw:创作主体,18,1
raw:创作关联,18,1
raw:剥削,18,1
raw:协助者,18,1
raw:发起方,18,1
raw:呈报,18,1
raw:地-人,18,1
raw:奔袭,18,1
raw:宣传工具,18,1
raw:悼念,18,1
raw:指向,18,1
raw:指挥者,18,1
raw:摧毁,18,1
raw:攻击对象,18,1
raw:时间-事件,18,1
raw:波及,18,1
raw:涉及地点,18,1
raw:突袭,18,1
raw:策动起义,18,1
raw:组建者,18,1
raw:组织-负责人,18,1
raw:组织领导,18,1
raw:结合,18,1
raw:编写,18,1
raw:袭击目标,18,1
raw:请求,18,1
raw:领导事件,18,1
raw:驻扎于,18,1
raw:主持入党,17,1
raw:举行,17,1
raw:事件-结果,17,1
raw:人物活动,17,1
raw:人物籍贯,17,1
raw:传播者,17,1
raw:体现精神,17,1
raw:使用工具,17,1
raw:俘获,17,1
raw:关联场所,17,1
raw:决策依据,17,1
raw:区域,17,1
raw:印发,17,1
raw:参与编写,17,1
raw:审判对象,17,1
raw:巡视,17,1
raw:带路,17,1
raw:影响区域,17,1
raw:情报联络,17,1
raw:投奔,17,1
raw:投靠,17,1
raw:抢占,17,1
raw:撤退,17,1
raw:求学地点,17,1
raw:涉及人物,17,1
raw:目标区域,17,1
raw:相邻,17,1
raw:组织中心,17,1
raw:行动地,17,1
raw:被捕关联,17,1
raw:覆盖范围,17,1
raw:设伏,17,1
raw:设立于,17,1
raw:设立地点,17,1
raw:输送人员,17,1
raw:disseminated_at,16,1
raw:事件主体,16,1
raw:人物-参与,16,1
raw:人物-领导,16,1
raw:供应,16,1
raw:依靠,16,1
raw:全歼,16,1
raw:关联人物与事件,16,1
raw:关联实体,16,1
raw:内容,16,1
raw:决定成立,16,1
raw:分析,16,1
raw:占据,16,1
raw:参与主体,16,1
raw:发展区域,16,1
raw:处决地点,16,1
raw:对象,16,1
raw:屠杀,16,1
raw:开展地,16,1
raw:引用,16,1
raw:强调,16,1
raw:战略方向,16,1
raw:批判,16,1
raw:指挥攻击,16,1
raw:整顿,16,1
raw:活动中心,16,1
raw:物资来源,16,1
raw:牵制,16,1
raw:相关事件与地点,16,1
raw:突围,16,1
raw:组织参与,16,1
raw:组织机构,16,1
raw:编印,16,1
raw:规定,16,1
raw:追剿,16,1
raw:追捕,16,1
raw:隐蔽地点,16,1
raw:领导-被领导,16,1
raw:领导地,16,1
raw:领导活动地点,16,1
raw:驻防地,16,1
raw:depicts,15,1
raw:下属,15,1
raw:主体-行动,15,1
raw:主持者,15,1
raw:产出,15,1
raw:人物-机构,15,1
raw:促进,15,1
raw:军事占领,15,1
raw:合击,15,1
raw:同行,15,1
raw:地-地,15,1
raw:宣讲,15,1
raw:对抗方,15,1
raw:就读,15,1
raw:延续,15,1
raw:截击,15,1
raw:手段,15,1
raw:指出,15,1
raw:指挥区域,15,1
raw:捕获,15,1
raw:授课,15,1
raw:接替,15,1
raw:提议,15,1
raw:搜捕,15,1
raw:撤退至,15,1
raw:支援行动,15,1
raw:收编,15,1
raw:收缴,15,1
raw:救助,15,1
raw:服务,15,1
raw:构筑工事,15,1
raw:核心区域,15,1
raw:涵盖,15,1
raw:物,15,1
raw:筹备,15,1
raw:联合行动,15,1
raw:肯定,15,1
raw:覆盖区域,15,1
raw:规划,15,1
raw:视察,15,1
raw:讲述,15,1
raw:说服,15,1
raw:进犯,15,1
raw:追剿区域,15,1
raw:配合作战,15,1
raw:镇压者,15,1
raw:隐蔽于,15,1
raw:领导关联,15,1
documents,14,0
raw:争取关系,14,1
raw:事-人,14,1
raw:事件-事件,14,1
raw:人物与事件关联,14,1
raw:传播内容,14,1
raw:作战行动,14,1
raw:作用,14,1
raw:军事行动关联,14,1
raw:决策机构,14,1
raw:决策者-事件,14,1
raw:势力-事件,14,1
raw:压迫,14,1
raw:参与建立,14,1
raw:参与行动,14,1
raw:发展党员关系,14,1
raw:发起地,14,1
raw:嘉奖,14,1
raw:地点-组织,14,1
raw:地理,14,1
raw:奠定,14,1
raw:布置,14,1
raw:庆祝,14,1
raw:所属区域,14,1
raw:抗击,14,1
raw:抗议,14,1
raw:拒绝,14,1
raw:拥护,14,1
raw:指挥地,14,1
raw:接任,14,1
raw:掩护身份,14,1
raw:擒获,14,1
raw:支持对象,14,1
raw:求学,14,1
raw:没收,14,1
raw:演出,14,1
raw:激战,14,1
raw:用于,14,1
raw:组织单位,14,1
raw:组织建立,14,1
raw:结局,14,1
raw:联动,14,1
raw:联络站,14,1
raw:谈话,14,1
raw:转移关系,14,1
raw:达成,14,1
raw:追认,14,1
raw:领导-区域,14,1
raw:领导机构,14,1
raw:领导者,14,1
raw:鼓舞,14,1
preserved_at,13,0
raw:criticized,13,1
raw:family_of,13,1
raw:举办地点,13,1
raw:事/地,13,1
raw:会师地点,13,1
raw:传递信息,13,1
raw:保管,13,1
raw:修建,13,1
raw:关联单位,13,1
raw:写信,13,1
raw:创建者-组织,13,1
raw:创立,13,1
raw:制作,13,1
raw:劝说,13,1
raw:办公地点,13,1
raw:加入组织,13,1
raw:协同关系,13,1
raw:历史事件,13,1
raw:参与人员,13,1
raw:参与创建,13,1
raw:参与战斗,13,1
raw:发生,13,1
raw:围困,13,1
raw:地理路径,13,1
raw:场所关联,13,1
raw:培训,13,1
raw:处理对象,13,1
raw:夜袭,13,1
raw:实现,13,1
raw:宣传内容,13,1
raw:情报支援,13,1
raw:战斗指挥,13,1
raw:战术配合,13,1
raw:承担,13,1
raw:指定,13,1
raw:政治关联,13,1
raw:汇合,13,1
raw:渡江行动,13,1
raw:渡河地点,13,1
raw:演变关系,13,1
raw:照顾,13,1
raw:签发,13,1
raw:精神体现,13,1
raw:纪念对象,13,1
raw:组织活动地点,13,1
raw:统治,13,1
raw:缴械,13,1
raw:职能,13,1
raw:联系地点,13,1
raw:背叛,13,1
raw:获取,13,1
raw:行动对象,13,1
raw:被杀害,13,1
raw:见证者-事件,13,1
raw:跟随,13,1
raw:配合关系,13,1
raw:针对对象,13,1
raw:隐蔽,13,1
raw:created_at,12,1
raw:occurred_during,12,1
raw:published_by,12,1
raw:事件-主体,12,1
raw:事件发生地-人物,12,1
raw:事件结果,12,1
raw:会师区域,12,1
raw:会议,12,1
raw:传阅,12,1
raw:依托区域,12,1
raw:依托场所,12,1
raw:关联地理,12,1
raw:军事支援,12,1
raw:冲突关系,12,1
raw:创作者,12,1
raw:剿匪行动,12,1
raw:参与单位,12,1
raw:参与者-事件,12,1
raw:反抗对象,12,1
raw:发展入党,12,1
raw:召开地点,12,1
raw:召集,12,1
raw:团结,12,1
raw:地域,12,1
raw:培养对象,12,1
raw:基础,12,1
raw:委托,12,1
raw:完成,12,1
raw:审讯,12,1
raw:就读于,12,1
raw:居住于,12,1
raw:开展活动,12,1
raw:引导,12,1
raw:弘扬,12,1
raw:战略指导,12,1
raw:所属地,12,1
raw:执行-事件,12,1
raw:执行任务地点,12,1
raw:护送路线,12,1
raw:报道对象,12,1
raw:抵制,12,1
raw:指令,12,1
raw:指导方针,12,1
raw:指挥关联,12,1
raw:指示者,12,1
raw:接头人,12,1
raw:接触,12,1
raw:控告,12,1
raw:支持事件,12,1
raw:时间,12,1
raw:时间背景,12,1
raw:求援,12,1
raw:电令,12,1
raw:监督,12,1
raw:确认,12,1
raw:策动关系,12,1
raw:籍贯地,12,1
raw:组织-机构,12,1
raw:组织建设,12,1
raw:组织归属,12,1
raw:组织行动,12,1
raw:经营,12,1
raw:结识,12,1
raw:维护,12,1
raw:编制,12,1
raw:考察,12,1
raw:联系关系,12,1
raw:触发事件,12,1
raw:起草,12,1
raw:起草者,12,1
raw:转移目的地,12,1
raw:返回,12,1
raw:连接,12,1
raw:途经地,12,1
raw:针对区域,12,1
raw:集结,12,1
raw:主讲,11,1
raw:书记,11,1
raw:争夺,11,1
raw:亲历,11,1
raw:传播范围,11,1
raw:关联事件-组织,11,1
raw:关联物证,11,1
raw:冲突事件,11,1
raw:决议,11,1
raw:出发,11,1
raw:分布,11,1
raw:创作地点,11,1
raw:协助关系,11,1
raw:印证,11,1
raw:参军,11,1
raw:反映区域,11,1
raw:发布机构,11,1
raw:发放,11,1
raw:发生地-事件,11,1
raw:吸收,11,1
raw:学习内容,11,1
raw:实践地,11,1
raw:宣告,11,1
raw:宣布成立,11,1
raw:封锁,11,1
raw:工作范围,11,1
raw:布防,11,1
raw:并列,11,1
raw:强攻,11,1
raw:情报提供,11,1
raw:情报支持,11,1
raw:战役发生地,11,1
raw:战斗对抗,11,1
raw:执行地点,11,1
raw:指挥与被指挥,11,1
raw:控制关系,11,1
raw:提供资料,11,1
raw:携带,11,1
raw:政策依据,11,1
raw:教育关系,11,1
raw:整编为,11,1
raw:斗争关系,11,1
raw:智擒,11,1
raw:来源,11,1
raw:构成,11,1
raw:构筑,11,1
raw:活动发生地,11,1
raw:活动地域,11,1
raw:涉及地区,11,1
raw:渡河行动,11,1
raw:组织-组织,11,1
raw:组织成立,11,1
raw:致电,11,1
raw:被俘,11,1
raw:被捕关系,11,1
raw:规范,11,1
raw:解决,11,1
raw:计划,11,1
raw:调整,11,1
raw:谈判对象,11,1
raw:跨越,11,1
raw:转移目标,11,1
raw:轰炸,11,1
raw:运送,11,1
raw:进剿,11,1
raw:连克,11,1
raw:遵守,11,1
raw:邀请,11,1
raw:任,10,1
raw:任务关联,10,1
raw:作战于,10,1
raw:关心,10,1
raw:关注,10,1
raw:关系,10,1
raw:关联事件-人物,10,1
raw:内应,10,1
raw:军事关联,10,1
raw:分粮,10,1
raw:创建根据地,10,1
raw:到达,10,1
raw:制造,10,1
raw:区域关联,10,1
raw:协商,10,1
raw:博弈,10,1
raw:参与-事件,10,1
raw:参与创作,10,1
raw:参与对象,10,1
raw:发现,10,1
raw:受害,10,1
raw:后续人员,10,1
raw:回忆者,10,1
raw:地点与事件,10,1
raw:培养关系,10,1
raw:学习材料,10,1
raw:安葬于,10,1
raw:宣传地点,10,1
raw:宣传对象,10,1
raw:引发事件,10,1
raw:形成,10,1
raw:征集,10,1
raw:怀念,10,1
