原始谓词,规范谓词,断言数
raw:关联事件与地点,raw:关联事件与地点,52
raw:参与组织,raw:参与组织,52
raw:发生于,occurred_during,52
raw:转战,raw:转战,52
raw:进攻,fought_at,52
introduced,raw:introduced,51
raw:传播载体,raw:传播载体,51
raw:作战对象,raw:作战对象,51
raw:坚持,raw:坚持,51
raw:开展工作,raw:开展工作,51
raw:追击,raw:追击,51
advocated,advocated,50
raw:任职关系,held_position_in,50
raw:地,raw:地,50
raw:对抗对象,raw:对抗对象,50
raw:指挥/参与,raw:指挥/参与,50
raw:掩护,protected,50
raw:援助,raw:援助,50
raw:支持关系,supported,50
raw:组建,organized,50
raw:组织者-事件,organized,50
raw:组织隶属,member_of,50
raw:叛变,raw:叛变,49
raw:组织联系,raw:组织联系,49
raw:协同作战,raw:协同作战,48
raw:工作联系,raw:工作联系,48
raw:路径,raw:路径,48
raw:践行,raw:践行,48
raw:促成,raw:促成,47
raw:合并,raw:合并,47
raw:帮助,raw:帮助,47
raw:指挥-地点,raw:指挥-地点,47
raw:联络关系,raw:联络关系,47
raw:见证,raw:见证,47
raw:转移,traveled_to,47
raw:针对,raw:针对,47
raw:下辖,raw:下辖,46
raw:互动,raw:互动,46
raw:围攻,raw:围攻,46
raw:实施于,raw:实施于,46
raw:总结,raw:总结,46
raw:批准,raw:批准,46
raw:活动场所,occurred_at,46
raw:关联事件-地点,raw:关联事件-地点,45
raw:号召,raw:号召,45
raw:安置,raw:安置,45
raw:统战,raw:统战,45
raw:谈判,raw:谈判,45
raw:主导,raw:主导,44
raw:举办地,occurred_at,44
raw:体现,embodied_by_person,44
raw:作战区域,occurred_at,44
raw:侦察,raw:侦察,44
raw:盘踞,raw:盘踞,44
raw:人-地,raw:人-地,43
raw:回忆,raw:回忆,43
raw:影响事件,influenced,43
raw:战略目标,raw:战略目标,43
raw:战略部署,raw:战略部署,43
raw:派出,raw:派出,43
raw:镇压对象,raw:镇压对象,43
raw:防御,raw:防御,43
raw:作战,fought_at,42
raw:历史关联,raw:历史关联,42
raw:战斗发生地,raw:战斗发生地,42
raw:整编,raw:整编,42
raw:任职单位,raw:任职单位,41
raw:俘虏,raw:俘虏,41
