原始谓词,规范谓词,断言数
raw:经济统筹,raw:经济统筹,1
raw:经济行为,raw:经济行为,1
raw:经济行动,raw:经济行动,1
raw:经济调控,raw:经济调控,1
raw:经由,raw:经由,1
raw:经由地,raw:经由地,1
raw:经营/联络,raw:经营/联络,1
raw:经营关系,raw:经营关系,1
raw:经营地点,raw:经营地点,1
raw:经营场所,worked_at,1
raw:经营掩护,raw:经营掩护,1
raw:经费发放,raw:经费发放,1
raw:经费支持,raw:经费支持,1
raw:经费来源,raw:经费来源,1
raw:经费筹措,raw:经费筹措,1
raw:经过/安葬,raw:经过/安葬,1
raw:经过于,raw:经过于,1
raw:经过区域,traveled_to,1
raw:经销,raw:经销,1
raw:经验传承,raw:经验传承,1
raw:经验传递-地点,raw:经验传递-地点,1
raw:经验来源,raw:经验来源,1
raw:绑架/杀害,raw:绑架/杀害,1
raw:结为同年朋友,raw:结为同年朋友,1
raw:结交与发动,raw:结交与发动,1
raw:结亲,raw:结亲,1
raw:结合,collaborated_with,1
raw:结婚,spouse_of,1
raw:结局地,raw:结局地,1
raw:结拜与密谈,raw:结拜与密谈,1
raw:结拜兄弟,raw:结拜兄弟,1
raw:结束地点,occurred_at,1
raw:结束地点,raw:结束地点,1
raw:结束统治,raw:结束统治,1
raw:结果-事件,raw:结果-事件,1
raw:结果地,raw:结果地,1
raw:结盟,raw:结盟,1
raw:结算,raw:结算,1
raw:结识关系,raw:结识关系,1
raw:绕过,raw:绕过,1
raw:绘制记录,raw:绘制记录,1
raw:给予帮助,raw:给予帮助,1
raw:给养补给,raw:给养补给,1
raw:统一建立,raw:统一建立,1
raw:统一战线工作,raw:统一战线工作,1
raw:统一编为,raw:统一编为,1
raw:统一编组,organized,1
raw:统一行动,raw:统一行动,1
raw:统一部署,implemented,1
raw:统一部署,organized,1
raw:统帅,raw:统帅,1
raw:统帅于,raw:统帅于,1
raw:统战-对象,raw:统战-对象,1
raw:统战与联络,raw:统战与联络,1
raw:统战争取,raw:统战争取,1
raw:统战争取工作,raw:统战争取工作,1
raw:统战互动,raw:统战互动,1
raw:统战人士,raw:统战人士,1
raw:统战对象-协助人员,raw:统战对象-协助人员,1
raw:统战对象转化,raw:统战对象转化,1
raw:统战工作关系,raw:统战工作关系,1
raw:统战工作地点,raw:统战工作地点,1
raw:统战据点,raw:统战据点,1
raw:统战接触,met_with,1
raw:统战教育,raw:统战教育,1
raw:统战策反,recruited,1
raw:统战行动,raw:统战行动,1
raw:统治于,raw:统治于,1
raw:统治区域,governed,1
raw:统治区域,raw:统治区域,1
raw:统治破坏,raw:统治破坏,1
raw:统筹,led,1
raw:统筹指挥,raw:统筹指挥,1
raw:统筹调度,raw:统筹调度,1
raw:继任书记,held_position_in,1
raw:继任大队长,raw:继任大队长,1
raw:继承/发展,raw:继承/发展,1
raw:继承与发扬,raw:继承与发扬,1
raw:继承成份,raw:继承成份,1
raw:继承者,raw:继承者,1
raw:继续与追认,raw:继续与追认,1
raw:继续穷追,raw:继续穷追,1
raw:继续策划,raw:继续策划,1
raw:继续负责,responsible_for,1
raw:绳降,raw:绳降,1
raw:维修,raw:维修,1
raw:维护/治安,raw:维护/治安,1
raw:维持,raw:维持,1
raw:维持秩序,raw:维持秩序,1
raw:缅怀对象,raw:缅怀对象,1
raw:缅怀继承,raw:缅怀继承,1
raw:缅怀致敬,raw:缅怀致敬,1
raw:缔造,raw:缔造,1
raw:编为,raw:编为,1
raw:编入单位,raw:编入单位,1
raw:编入建制,raw:编入建制,1
raw:编入起义队伍,raw:编入起义队伍,1
raw:编写前言,raw:编写前言,1
raw:编写指导,raw:编写指导,1
raw:编制,organized,1
raw:编制关系,formulated,1
raw:编制关系,raw:编制关系,1
raw:编制者,raw:编制者,1
raw:编制调整,raw:编制调整,1
raw:编发者,raw:编发者,1
raw:编委,raw:编委,1
raw:编审者,raw:编审者,1
raw:编导,raw:编导,1
raw:编成,organized,1
raw:编成,raw:编成,1
raw:编排内容,raw:编排内容,1
raw:编排指导,raw:编排指导,1
raw:编校,raw:编校,1
raw:编歌传颂,raw:编歌传颂,1
raw:编源于,raw:编源于,1
raw:编研,raw:编研,1
raw:编纂-地点,raw:编纂-地点,1
raw:编纂/出版,raw:编纂/出版,1
raw:编纂主体,raw:编纂主体,1
raw:编纂于,raw:编纂于,1
raw:编纂关系,raw:编纂关系,1
raw:编纂出版,created,1
raw:编纂地,occurred_at,1
raw:编纂对象,raw:编纂对象,1
raw:编纂记录,raw:编纂记录,1
raw:编练,raw:编练,1
raw:编组于,raw:编组于,1
raw:编组地点,stationed_at,1
raw:编组领导人,raw:编组领导人,1
raw:编绘,raw:编绘,1
raw:编著,raw:编著,1
raw:编词纪念,raw:编词纪念,1
raw:编辑出版,raw:编辑出版,1
raw:编辑地点,raw:编辑地点,1
raw:编辑者,raw:编辑者,1
raw:编选,raw:编选,1
raw:缩编为,raw:缩编为,1
raw:缴械/投诚,raw:缴械/投诚,1
raw:缴械与被缴械,raw:缴械与被缴械,1
raw:缴械对抗,raw:缴械对抗,1
raw:缴械对象,raw:缴械对象,1
raw:缴械投诚,raw:缴械投诚,1
raw:缴粮关系,raw:缴粮关系,1
raw:缴纳,raw:缴纳,1
raw:缴获/搞到,raw:缴获/搞到,1
raw:缴获关系,raw:缴获关系,1
raw:缴获关联,raw:缴获关联,1
raw:缴获装备,raw:缴获装备,1
raw:缺失,raw:缺失,1
raw:罢工发起者,raw:罢工发起者,1
raw:罢课,raw:罢课,1
raw:罪行,raw:罪行,1
raw:罹难,raw:罹难,1
raw:羁押,raw:羁押,1
raw:群众互动,raw:群众互动,1
raw:群众保护,raw:群众保护,1
raw:群众协助擒拿,raw:群众协助擒拿,1
raw:群众基础,raw:群众基础,1
raw:群众支持,raw:群众支持,1
raw:群众支援,supported,1
raw:群众斗争,raw:群众斗争,1
raw:群众监督,raw:群众监督,1
raw:群众联系,raw:群众联系,1
raw:群体-魂,raw:群体-魂,1
raw:群体成员,raw:群体成员,1
raw:翻印分发,raw:翻印分发,1
raw:翻山越岭,raw:翻山越岭,1
raw:翻译与研究,raw:翻译与研究,1
raw:翻译投送,raw:翻译投送,1
raw:翻译来源,raw:翻译来源,1
raw:翻译者-作品,raw:翻译者-作品,1
raw:翻越后,raw:翻越后,1
raw:翻越地,raw:翻越地,1
raw:翻越地,traveled_to,1
raw:翻越避难,raw:翻越避难,1
raw:考察/发展,raw:考察/发展,1
raw:考察关系,raw:考察关系,1
raw:考察地点关联,raw:考察地点关联,1
raw:考察接触,met_with,1
raw:考察联系,raw:考察联系,1
raw:考查,raw:考查,1
raw:考核,raw:考核,1
raw:考证修正,raw:考证修正,1
raw:考证澄清,raw:考证澄清,1
raw:耕种支援,raw:耕种支援,1
raw:聆听,raw:聆听,1
raw:聆听演讲,raw:聆听演讲,1
raw:聆听讲演,raw:聆听讲演,1
raw:职,held_position_in,1
raw:职业,raw:职业,1
raw:职业关联,raw:职业关联,1
raw:职业经历,raw:职业经历,1
raw:职位与事件,raw:职位与事件,1
raw:职位关联,raw:职位关联,1
raw:职务任免,held_position_in,1
raw:职务任免,raw:职务任免,1
raw:职务任职,held_position_in,1
raw:职务侵占,raw:职务侵占,1
raw:职务冲突,raw:职务冲突,1
raw:职务变动,raw:职务变动,1
raw:职务变更,raw:职务变更,1
raw:职务派遣,dispatched,1
raw:职务身份,held_position_in,1
raw:职能归属,raw:职能归属,1
raw:职责分工,raw:职责分工,1
raw:职责归属,held_position_in,1
raw:职责角色,raw:职责角色,1
raw:联合/号召,raw:联合/号召,1
raw:联合作战,raw:联合作战,1
raw:联合决策,collaborated_with,1
raw:联合力量,raw:联合力量,1
raw:联合势力,raw:联合势力,1
raw:联合反蒋,raw:联合反蒋,1
raw:联合发表宣言,raw:联合发表宣言,1
raw:联合叛乱,raw:联合叛乱,1
raw:联合和帮助,raw:联合和帮助,1
raw:联合孤立,raw:联合孤立,1
raw:联合对抗,opposed,1
raw:联合执行,raw:联合执行,1
raw:联合排斥,raw:联合排斥,1
raw:联合援助,raw:联合援助,1
raw:联合收编,raw:联合收编,1
raw:联名,raw:联名,1
raw:联名抗议,raw:联名抗议,1
raw:联名申请,raw:联名申请,1
raw:联欢,raw:联欢,1
raw:联系-区域,raw:联系-区域,1
raw:联系-地点,raw:联系-地点,1
raw:联系-指导,guided,1
raw:联系-武装力量,raw:联系-武装力量,1
raw:联系/指导,guided,1
raw:联系/被联系,contacted,1
raw:联系/输送,raw:联系/输送,1
raw:联系与被联系,raw:联系与被联系,1
raw:联系中断,raw:联系中断,1
raw:联系人-人物,raw:联系人-人物,1
raw:联系会师,raw:联系会师,1
raw:联系区域,raw:联系区域,1
raw:联系组织,raw:联系组织,1
raw:联系者,raw:联系者,1
raw:联系节点,raw:联系节点,1
raw:联系贯通,raw:联系贯通,1
raw:联系配合,collaborated_with,1
raw:联系领域,raw:联系领域,1
raw:联系领导,raw:联系领导,1
raw:联系高校,raw:联系高校,1
raw:联络(军事)委员,raw:联络(军事)委员,1
raw:联络-人物,contacted,1
raw:联络-传递,raw:联络-传递,1
raw:联络-协作,raw:联络-协作,1
raw:联络-地点,raw:联络-地点,1
raw:联络-接头对象,raw:联络-接头对象,1
raw:联络-支持,supported,1
raw:联络-机构,contacted,1
raw:联络/争取,contacted,1
raw:联络/会合,raw:联络/会合,1
raw:联络/传达,contacted,1
raw:联络/指导,raw:联络/指导,1
raw:联络/策动,raw:联络/策动,1
raw:联络/策反,raw:联络/策反,1
raw:联络/组织,contacted,1
raw:联络/被联络,raw:联络/被联络,1
raw:联络与打通,raw:联络与打通,1
raw:联络与被捕关联,raw:联络与被捕关联,1
raw:联络与被联络,contacted,1
raw:联络人-场所,raw:联络人-场所,1
raw:联络人员,contacted,1
raw:联络任务,raw:联络任务,1
raw:联络关系-机构,raw:联络关系-机构,1
raw:联络关联,raw:联络关联,1
raw:联络协调,raw:联络协调,1
raw:联络合作,collaborated_with,1
raw:联络土匪,raw:联络土匪,1
raw:联络实施,raw:联络实施,1
raw:联络尝试,raw:联络尝试,1
raw:联络工具,raw:联络工具,1
raw:联络指导关系,raw:联络指导关系,1
raw:联络接头,met_with,1
raw:联络支持,supported,1
raw:联络支援,raw:联络支援,1
raw:联络方式,raw:联络方式,1
raw:联络机关,raw:联络机关,1
raw:联络沟通,contacted,1
raw:联络点-人员,raw:联络点-人员,1
raw:联络点建立者,raw:联络点建立者,1
raw:联络目标,raw:联络目标,1
raw:联络站建立者,raw:联络站建立者,1
raw:联络者,contacted,1
raw:联络职责,raw:联络职责,1
raw:联络解决困难,raw:联络解决困难,1
raw:联络通道,raw:联络通道,1
raw:联防协作,raw:联防协作,1
raw:聘用,raw:聘用,1
raw:聘请职位,raw:聘请职位,1
raw:聚众,raw:聚众,1
raw:聚居地,raw:聚居地,1
raw:聚歼于,raw:聚歼于,1
raw:肃反事件,raw:肃反事件,1
raw:肃反对象,raw:肃反对象,1
raw:股东,raw:股东,1
raw:肯定/鼓励,raw:肯定/鼓励,1
raw:肯定与嘉奖,raw:肯定与嘉奖,1
raw:肯定工作,raw:肯定工作,1
raw:肯定指示,raw:肯定指示,1
raw:胁迫,raw:胁迫,1
raw:背叛/镇压,raw:背叛/镇压,1
raw:背叛与反制,raw:背叛与反制,1
raw:背叛关联,raw:背叛关联,1
raw:背回/救助,raw:背回/救助,1
raw:背景-主体,raw:背景-主体,1
raw:背景支持,raw:背景支持,1
raw:背运碾米,raw:背运碾米,1
raw:胜利会师,raw:胜利会师,1
raw:胜利到达,traveled_to,1
raw:脱离,raw:脱离,1
raw:脱险地,raw:脱险地,1
raw:腐败对象,raw:腐败对象,1
raw:腾让,raw:腾让,1
raw:自,raw:自,1
raw:自制,created,1
raw:自发,raw:自发,1
raw:自我批评,raw:自我批评,1
raw:自杀,raw:自杀,1
raw:自编自印,raw:自编自印,1
raw:自首出卖,raw:自首出卖,1
raw:致书谈判,raw:致书谈判,1
raw:致信报告,raw:致信报告,1
raw:致信求助,raw:致信求助,1
raw:致信汇报,reported_to,1
raw:致信请示,raw:致信请示,1
raw:致函,raw:致函,1
raw:致力于恢复,raw:致力于恢复,1
raw:致电查办,raw:致电查办,1
raw:致词于,raw:致词于,1
raw:致谢,raw:致谢,1
raw:致谢/赠银,raw:致谢/赠银,1
raw:致谢于,raw:致谢于,1
raw:致贺电,raw:致贺电,1
raw:致辞,raw:致辞,1
raw:致辞者,raw:致辞者,1
raw:舆论传播,raw:舆论传播,1
raw:舆论引导,raw:舆论引导,1
raw:舆论影响,raw:舆论影响,1
raw:舆论支持,supported,1
raw:航线,raw:航线,1
raw:艰苦奋战,raw:艰苦奋战,1
raw:节点,raw:节点,1
raw:苏区创建,raw:苏区创建,1
raw:苏区扩展,raw:苏区扩展,1
raw:英勇,raw:英勇,1
raw:英勇作战于,raw:英勇作战于,1
raw:英勇就义于,raw:英勇就义于,1
raw:英勇抵抗,raw:英勇抵抗,1
raw:英勇杀敌,raw:英勇杀敌,1
raw:英勇牺牲于,raw:英勇牺牲于,1
raw:英勇践行,raw:英勇践行,1
raw:英勇阻击,raw:英勇阻击,1
raw:荣立,raw:荣立,1
raw:荣誉,raw:荣誉,1
raw:荣誉关联,raw:荣誉关联,1
raw:荣誉授予,raw:荣誉授予,1
raw:荣誉称号授予,raw:荣誉称号授予,1
raw:药品运输,raw:药品运输,1
raw:药材来源,raw:药材来源,1
raw:获,raw:获,1
raw:获取地,raw:获取地,1
raw:获取工具,raw:获取工具,1
raw:获取来源,raw:获取来源,1
raw:获取武器,raw:获取武器,1
raw:获取物资,raw:获取物资,1
raw:获取资料,raw:获取资料,1
raw:获得支援于,raw:获得支援于,1
raw:获得果实,raw:获得果实,1
raw:获得武器,raw:获得武器,1
raw:获得称号,raw:获得称号,1
raw:获得荣誉,raw:获得荣誉,1
raw:获得认可,raw:获得认可,1
raw:获悉情报,raw:获悉情报,1
raw:获授,raw:获授,1
raw:获救于,raw:获救于,1
raw:获评价,raw:获评价,1
raw:获赠,raw:获赠,1
raw:萌发,raw:萌发,1
raw:营救事件,raw:营救事件,1
raw:营救保障,raw:营救保障,1
raw:营救协助,rescued,1
raw:营救地,raw:营救地,1
raw:营救尝试,raw:营救尝试,1
raw:营救活动,raw:营救活动,1
raw:营救者,raw:营救者,1
raw:营救者-被营救者,rescued,1
raw:营救联络,raw:营救联络,1
raw:营救请求,raw:营救请求,1
raw:营长,raw:营长,1
raw:落入,raw:落入,1
raw:落实,implemented,1
raw:落实政策,raw:落实政策,1
raw:落户,raw:落户,1
raw:落脚于,raw:落脚于,1
raw:落脚点,raw:落脚点,1
raw:落脚隐蔽,raw:落脚隐蔽,1
raw:著作者,raw:著作者,1
raw:著录,raw:著录,1
raw:董事,raw:董事,1
raw:董事长,raw:董事长,1
raw:蔑称,raw:蔑称,1
raw:藏匿救治,raw:藏匿救治,1
raw:藏匿点,raw:藏匿点,1
raw:藏有,raw:藏有,1
raw:藏起,raw:藏起,1
raw:藏身地,raw:藏身地,1
raw:虚张声势,raw:虚张声势,1
raw:虚惊,raw:虚惊,1
raw:蛊惑,raw:蛊惑,1
raw:融入,raw:融入,1
raw:行、交通路线,raw:行、交通路线,1
raw:行为-对象,participated_in,1
raw:行为-结果,raw:行为-结果,1
raw:行为主体,raw:行为主体,1
raw:行为对象,raw:行为对象,1
raw:行使,implemented,1
raw:行使职能,raw:行使职能,1
raw:行军/会合,raw:行军/会合,1
raw:行军/作战,fought_at,1
raw:行军/充饥,raw:行军/充饥,1
raw:行军/增援,raw:行军/增援,1
raw:行军/经过,raw:行军/经过,1
raw:行军/群众工作,raw:行军/群众工作,1
raw:行军于,raw:行军于,1
raw:行军区域,raw:行军区域,1
raw:行军地,raw:行军地,1
raw:行军引导者,raw:行军引导者,1
raw:行军方向,raw:行军方向,1
raw:行军经过,traveled_to,1
raw:行刑,killed,1
raw:行刑地点,raw:行刑地点,1
raw:行动-主体,raw:行动-主体,1
raw:行动-人物,raw:行动-人物,1
raw:行动-区域,raw:行动-区域,1
raw:行动-地点,occurred_at,1
raw:行动-地理,raw:行动-地理,1
raw:行动-地理环境,raw:行动-地理环境,1
raw:行动-目的,raw:行动-目的,1
raw:行动-组织,raw:行动-组织,1
raw:行动-负责人,implemented,1
raw:行动-转移,raw:行动-转移,1
raw:行动/牺牲,raw:行动/牺牲,1
raw:行动主体-参与者,raw:行动主体-参与者,1
raw:行动于,active_at,1
raw:行动于,raw:行动于,1
raw:行动依据,raw:行动依据,1
raw:行动协同,raw:行动协同,1
raw:行动参与地,raw:行动参与地,1
raw:行动参与者-对象,raw:行动参与者-对象,1
raw:行动地点,occurred_at,1
raw:行动地点,stationed_at,1
raw:行动场所,raw:行动场所,1
raw:行动实施,raw:行动实施,1
raw:行动延伸,raw:行动延伸,1
raw:行动意向,raw:行动意向,1
raw:行动指导,raw:行动指导,1
raw:行动指引,guided,1
raw:行动指引,raw:行动指引,1
raw:行动指挥者,raw:行动指挥者,1
raw:行动据点,raw:行动据点,1
raw:行动支持,raw:行动支持,1
raw:行动方式,raw:行动方式,1
raw:行动点,raw:行动点,1
raw:行动目的地,raw:行动目的地,1
raw:行动策略,raw:行动策略,1
raw:行动联络,contacted,1
raw:行动节点,raw:行动节点,1
raw:行动范围,raw:行动范围,1
raw:行动计划第一步,raw:行动计划第一步,1
raw:行动计划第二步,raw:行动计划第二步,1
raw:行动轨迹,traveled_to,1
raw:行动载体,raw:行动载体,1
raw:行动配合,collaborated_with,1
raw:行政中心,raw:行政中心,1
raw:行政关系,raw:行政关系,1
raw:行政关联,raw:行政关联,1
raw:行政区划包含,raw:行政区划包含,1
raw:行政区划变更,raw:行政区划变更,1
raw:行政区划调整,raw:行政区划调整,1
raw:行政命令,raw:行政命令,1
raw:行政建制,raw:行政建制,1
raw:行政指令,formulated,1
raw:行政机构,governed,1
raw:行政管理,raw:行政管理,1
raw:行政管辖,administratively_in,1
raw:行政职务,raw:行政职务,1
raw:行政调整,raw:行政调整,1
raw:行程关联,raw:行程关联,1
raw:行程路线,raw:行程路线,1
raw:行经区域,traveled_to,1
raw:行经地,traveled_to,1
raw:行进/等待,raw:行进/等待,1
raw:行进支援,raw:行进支援,1
raw:衍生行动,raw:衍生行动,1
raw:补发,raw:补发,1
raw:补正,raw:补正,1
raw:表彰关系,raw:表彰关系,1
raw:表彰方,raw:表彰方,1
raw:表彰部署,raw:表彰部署,1
raw:表态,raw:表态,1
raw:表扬/指导,guided,1
raw:表明,raw:表明,1
raw:表演者,raw:表演者,1
raw:表现为,raw:表现为,1
raw:表现对象,raw:表现对象,1
raw:表示敬意,raw:表示敬意,1
raw:表达与遭遇,raw:表达与遭遇,1
raw:表露,raw:表露,1
raw:表面接受,raw:表面接受,1
raw:袒护,raw:袒护,1
raw:被,raw:被,1
raw:被争取人员-原属组织,member_of,1
raw:被争取对象,raw:被争取对象,1
raw:被介绍,introduced,1
raw:被介绍者-介绍者,introduced,1
raw:被优待,raw:被优待,1
raw:被俘-敌人,raw:被俘-敌人,1
raw:被俘/牺牲,raw:被俘/牺牲,1
raw:被俘与领导关系,raw:被俘与领导关系,1
raw:被俘牺牲,raw:被俘牺牲,1
raw:被保护对象,protected,1
raw:被公审人物,raw:被公审人物,1
raw:被关押于,raw:被关押于,1
raw:被关押地,imprisoned_at,1
raw:被关押者,imprisoned_at,1
raw:被冲散,raw:被冲散,1
raw:被出卖,raw:被出卖,1
raw:被出卖对象,raw:被出卖对象,1
raw:被击伤,raw:被击伤,1
raw:被击毙,raw:被击毙,1
raw:被击溃于,raw:被击溃于,1
raw:被击溃对象,raw:被击溃对象,1
raw:被击败者,raw:被击败者,1
raw:被击退,raw:被击退,1
raw:被分割,raw:被分割,1
raw:被利用,raw:被利用,1
raw:被制服,raw:被制服,1
raw:被制止,raw:被制止,1
raw:被刺杀,raw:被刺杀,1
raw:被剥削,raw:被剥削,1
raw:被剥削关系,raw:被剥削关系,1
raw:被劝说/劝导,raw:被劝说/劝导,1
raw:被劝降对象,raw:被劝降对象,1
raw:被动员对象,raw:被动员对象,1
raw:被压迫,raw:被压迫,1
raw:被压迫对象,raw:被压迫对象,1
raw:被发展为党员,member_of,1
raw:被发展对象,raw:被发展对象,1
raw:被发现,raw:被发现,1
raw:被叛徒交出,raw:被叛徒交出,1
raw:被告密,raw:被告密,1
raw:被囚于,imprisoned_at,1
raw:被囚地点,imprisoned_at,1
raw:被囚禁于,imprisoned_at,1
raw:被囚禁地点,imprisoned_at,1
raw:被困于,raw:被困于,1
raw:被围困,raw:被围困,1
raw:被围歼,raw:被围歼,1
raw:被垄断,raw:被垄断,1
raw:被处决,killed,1
raw:被处决地点,raw:被处决地点,1
raw:被处理对象,raw:被处理对象,1
raw:被处置对象,raw:被处置对象,1
raw:被夹击,raw:被夹击,1
raw:被委任,appointed,1
raw:被委聘,raw:被委聘,1
raw:被威胁治疗,raw:被威胁治疗,1
raw:被嫉恨,raw:被嫉恨,1
raw:被安排,appointed,1
raw:被审判/处决,raw:被审判/处决,1
raw:被审查,raw:被审查,1
raw:被审问者与审问者,raw:被审问者与审问者,1
raw:被害于,raw:被害于,1
raw:被害对象,raw:被害对象,1
raw:被害者,killed,1
raw:被害者,raw:被害者,1
raw:被害者-加害者,killed,1
raw:被害者与主谋,raw:被害者与主谋,1
raw:被害者与加害者,killed,1
raw:被带领者-带领者,raw:被带领者-带领者,1
raw:被幽禁者,raw:被幽禁者,1
raw:被开除学生,raw:被开除学生,1
raw:被引导,guided,1
raw:被征,raw:被征,1
raw:被怀疑策动起义,raw:被怀疑策动起义,1
raw:被惩,raw:被惩,1
raw:被惩处,raw:被惩处,1
raw:被截断,raw:被截断,1
raw:被扑灭于,raw:被扑灭于,1
raw:被打败,raw:被打败,1
raw:被扣押地点,raw:被扣押地点,1
raw:被扣押对象,raw:被扣押对象,1
raw:被扣押对象-事件,raw:被扣押对象-事件,1
raw:被扣留地点,raw:被扣留地点,1
raw:被批判,raw:被批判,1
raw:被批判对象,criticized,1
raw:被批评/撤销职务,raw:被批评/撤销职务,1
raw:被批评者与批评者,criticized,1
raw:被抓获,raw:被抓获,1
raw:被护送,raw:被护送,1
raw:被押入/囚禁,raw:被押入/囚禁,1
raw:被押往,raw:被押往,1
raw:被押解于,raw:被押解于,1
raw:被押送至,raw:被押送至,1
raw:被拉拢,raw:被拉拢,1
raw:被拒,raw:被拒,1
raw:被拘地点,raw:被拘地点,1
raw:被拘押,raw:被拘押,1
raw:被拘捕,arrested_at,1
raw:被拘捕,raw:被拘捕,1
raw:被招募,recruited,1
raw:被拥护,raw:被拥护,1
raw:被指导者,trained,1
raw:被指导者与指导者,guided,1
raw:被指控关联,raw:被指控关联,1
raw:被指责,raw:被指责,1
raw:被捕-地点,arrested_at,1
raw:被捕-施害者,raw:被捕-施害者,1
raw:被捕-追捕,raw:被捕-追捕,1
raw:被捕-镇压,raw:被捕-镇压,1
raw:被捕入狱,raw:被捕入狱,1
raw:被捕关押地点,imprisoned_at,1
raw:被捕冲突,raw:被捕冲突,1
raw:被捕原因,raw:被捕原因,1
raw:被捕同伙,raw:被捕同伙,1
raw:被捕同案人,raw:被捕同案人,1
raw:被捕同犯,raw:被捕同犯,1
raw:被捕同狱,raw:被捕同狱,1
raw:被捕地点关联,arrested_at,1
raw:被捕处决地点,raw:被捕处决地点,1
raw:被捕审讯关系,raw:被捕审讯关系,1
raw:被捕审问,raw:被捕审问,1
raw:被捕就义于,raw:被捕就义于,1
raw:被捕杀害,arrested_at,1
raw:被捕殉难,raw:被捕殉难,1
raw:被捕牵连关系,raw:被捕牵连关系,1
raw:被捕牺牲地,raw:被捕牺牲地,1
raw:被捕监禁,raw:被捕监禁,1
raw:被捕策划者,raw:被捕策划者,1
raw:被捕者-审讯者,raw:被捕者-审讯者,1
raw:被捕者与叛徒,raw:被捕者与叛徒,1
raw:被捕获,raw:被捕获,1
raw:被捕路径,raw:被捕路径,1
raw:被捕转移,arrested_at,1
raw:被捕追捕关系,raw:被捕追捕关系,1
raw:被捕避难地,raw:被捕避难地,1
raw:被捕释放,raw:被捕释放,1
raw:被授予职务,appointed,1
raw:被排开,raw:被排开,1
raw:被排斥,raw:被排斥,1
raw:被接纳,raw:被接纳,1
raw:被接见,met_with,1
raw:被掩护,raw:被掩护,1
raw:被搜查,raw:被搜查,1
raw:被撤职,raw:被撤职,1
raw:被擒,raw:被擒,1
raw:被收留于,raw:被收留于,1
raw:被收编对象,raw:被收编对象,1
raw:被改编,raw:被改编,1
raw:被敌杀害地点,raw:被敌杀害地点,1
raw:被救地点,raw:被救地点,1
raw:被斗争对象,opposed,1
raw:被杀,killed,1
raw:被杀,raw:被杀,1
raw:被杀地点,died_at,1
raw:被杀害关系,killed,1
raw:被杀害地点,died_at,1
raw:被杀害地点,raw:被杀害地点,1
raw:被杀害对象,raw:被杀害对象,1
raw:被杀害者,killed,1
raw:被查封,raw:被查封,1
raw:被歼灭对象,raw:被歼灭对象,1
raw:被没收财产者,raw:被没收财产者,1
raw:被活埋,raw:被活埋,1
raw:被活捉于,raw:被活捉于,1
raw:被派往,dispatched,1
raw:被派往地,dispatched,1
raw:被清除,raw:被清除,1
raw:被牵连人物,raw:被牵连人物,1
raw:被留任,raw:被留任,1
raw:被监视,raw:被监视,1
raw:被称赞,raw:被称赞,1
raw:被组织,raw:被组织,1
raw:被绑架地点,raw:被绑架地点,1
raw:被绞死于,raw:被绞死于,1
raw:被背叛者/叛徒,raw:被背叛者/叛徒,1
raw:被表扬,raw:被表扬,1
raw:被袭击,raw:被袭击,1
raw:被要求严办对象,raw:被要求严办对象,1
raw:被解职,raw:被解职,1
raw:被解聘对象,raw:被解聘对象,1
raw:被誉为,raw:被誉为,1
raw:被记录,raw:被记录,1
raw:被记载,raw:被记载,1
raw:被评为,raw:被评为,1
raw:被评价对象,raw:被评价对象,1
raw:被评定,raw:被评定,1
raw:被诬告于,raw:被诬告于,1
raw:被诬蔑为,raw:被诬蔑为,1
raw:被诱捕,raw:被诱捕,1
raw:被请领导,raw:被请领导,1
raw:被调入,raw:被调入,1
raw:被调动,dispatched,1
raw:被调解,raw:被调解,1
raw:被谈话对象,raw:被谈话对象,1
raw:被跟踪抓捕,raw:被跟踪抓捕,1
raw:被转押至,raw:被转押至,1
raw:被转移,raw:被转移,1
raw:被软禁,raw:被软禁,1
raw:被辨认者与辨认者,raw:被辨认者与辨认者,1
raw:被迎接对象,raw:被迎接对象,1
raw:被迷惑,raw:被迷惑,1
raw:被追捕关系,raw:被追捕关系,1
raw:被追捕地,raw:被追捕地,1
raw:被追认为,raw:被追认为,1
raw:被送医,raw:被送医,1
raw:被送医治疗,raw:被送医治疗,1
raw:被选送单位,raw:被选送单位,1
raw:被逮捕对象,raw:被逮捕对象,1
raw:被逮捕杀害,raw:被逮捕杀害,1
raw:被释放,raw:被释放,1
raw:被铭记,raw:被铭记,1
raw:被错误处理,raw:被错误处理,1
raw:被镇压者与镇压者,raw:被镇压者与镇压者,1
raw:被阻击,raw:被阻击,1
raw:被陷害对象,raw:被陷害对象,1
raw:被驱逐,raw:被驱逐,1
raw:袭击包围,raw:袭击包围,1
raw:袭击地点,occurred_at,1
raw:袭击行动,raw:袭击行动,1
raw:袭坏,raw:袭坏,1
raw:袭扰消耗,raw:袭扰消耗,1
raw:装备使用,used_artifact,1
raw:装备使用,used_in_event,1
raw:装备支持,raw:装备支持,1
raw:装备来源,raw:装备来源,1
raw:西征,fought_at,1
raw:西征至,traveled_to,1
raw:西渡未成,raw:西渡未成,1
raw:西窜至,traveled_to,1
raw:西迁,raw:西迁,1
raw:西进攻击,raw:西进攻击,1
raw:要人,raw:要人,1
raw:要求举办,raw:要求举办,1
raw:要求停止攻击,raw:要求停止攻击,1
raw:要求停止检查,raw:要求停止检查,1
